Weather_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
116,I,20.7,-105.2,76.84,94,100,2.1,MX,overcast clouds
117,T,69.4541,-133.0374,48.2,81,75,10.36,CA,broken clouds
118,G,63.8424,-22.4338,49.95,93,75,19.57,IS,broken clouds
119,G,43.7129,39.6049,64.18,76,0,4.9,RU,clear sky
120,S,50.6789,156.125,55.35,87,96,6.58,RU,overcast clouds
121,A,50.147,48.5704,75.18,52,71,7.76,RU,broken clouds
122,K,57.79,-152.4072,62.11,51,0,5.75,US,clear sky
123,B,5.6,14.0833,65.34,99,100,2.84,CM,overcast clouds
124,B,32.272,72.9043,86.31,73,82,10.42,PK,broken clouds
125,O,5.3998,26.4869,67.1,98,100,2.26,CF,light rain
126,P,-13.7,-76.2167,59.05,82,20,4.61,PE,few clouds
127,N,-3.6667,152.4333,85.1,67,74,12.68,PG,broken clouds
128,Y,61.2767,108.0108,73.58,66,45,6.35,RU,light rain
129,J,58.3019,-134.4197,62.6,98,100,4.61,US,overcast clouds
130,E,61.95,159.2333,58.87,54,72,5.23,RU,broken clouds
131,K,41.7597,86.1469,93.29,13,0,8.16,CN,clear sky
132,B,61.67,96.37,67.96,83,100,3.29,RU,overcast clouds
133,M,35.5849,-80.8101,83.59,83,100,8.23,US,overcast clouds
134,C,-8.5785,13.6643,70.47,86,100,1.01,AO,overcast clouds
135,V,58.7806,24.2522,58.84,93,100,3.2,EE,overcast clouds
136,A,50.5667,123.7167,75.54,79,100,6.58,CN,light rain
137,H,-9.4333,159.95,86.61,66,100,9.1,SB,overcast clouds
138,K,8.1333,-5.1,72.23,95,66,6.8,CI,broken clouds
139,P,21.2833,-88.2667,78.28,82,74,9.33,MX,broken clouds
140,A,-8.9266,125.4092,69.93,47,12,5.39,TL,few clouds
141,V,22.2855,114.1577,92.03,72,0,5.99,HK,clear sky
142,B,41.3712,-73.414,74.75,78,0,0.0,US,clear sky
143,L,44.2301,20.2382,68.11,80,100,1.88,RS,overcast clouds
144,L,-6.8844,112.2051,84.9,64,99,7.96,ID,overcast clouds
145,C,14.3,-91.9167,79.18,80,62,3.83,GT,broken clouds
146,S,1.7427,98.7792,85.6,57,32,2.71,ID,scattered clouds
147,K,35.1333,140.3,83.19,78,68,12.08,JP,broken clouds
148,T,71.6872,128.8694,68.29,60,89,6.26,RU,overcast clouds
149,Q,68.8193,-51.1922,38.35,94,100,0.87,GL,overcast clouds
150,K,57.5818,40.7643,63.88,91,29,4.99,RU,scattered clouds
151,M,45.7625,106.2708,70.81,36,70,20.38,MN,broken clouds
152,C,-24.8667,113.6333,73.98,47,100,3.65,AU,overcast clouds
153,B,-14.55,48.7333,50.23,95,2,2.13,MG,clear sky
154,E,43.2577,42.6443,52.07,69,0,1.45,RU,clear sky
155,K,-23.8833,24.75,53.51,49,16,6.11,BW,few clouds
156,M,-38.0023,-57.5575,51.1,58,100,18.01,AR,overcast clouds
157,P,57.4129,-6.1942,49.51,91,100,1.43,GB,overcast clouds
158,K,20.8947,-156.47,86.02,51,20,24.16,US,few clouds
159,T,17.1333,-93.3,70.61,97,100,1.54,MX,overcast clouds
160,A,64.75,177.4833,52.3,81,75,15.66,RU,broken clouds
161,T,-45.4167,167.7167,41.85,98,100,1.5,NZ,overcast clouds
162,F,-16.4833,-151.75,78.75,76,13,25.95,PF,light rain
163,M,-20.4081,57.7,68.29,88,40,5.75,MU,scattered clouds
164,L,55.1001,-105.2842,70.02,42,20,2.3,CA,few clouds
165,R,62.5833,6.1333,48.76,93,94,4.61,NO,overcast clouds
166,D,73.5069,80.5464,40.51,94,70,13.56,RU,broken clouds
167,M,39.6367,141.9525,78.33,78,65,5.01,JP,broken clouds
168,T,55.7435,-97.8558,60.96,77,75,3.44,CA,broken clouds
169,M,-19.9,48.8,63.16,91,15,4.68,MG,few clouds
170,R,64.8621,11.2373,52.77,79,99,10.85,NO,overcast clouds
171,V,-22.0866,-65.5942,46.51,59,60,2.37,BO,broken clouds
172,A,68.2191,-135.0107,54.97,57,97,11.25,CA,overcast clouds
